frame.len,ip.hdr_len,ip.len,ip.ttl,ip.proto,tcp.len,tcp.seq,tcp.ack,tcp.hdr_len,tcp.options.timestamp.tsval,tcp.options.timestamp.tsecr,tcp.analysis.bytes_in_flight,tcp.analysis.push_bytes_sent,tcp.time_delta,udp.length,udp.stream,icmp.type,icmp.seq,icmp.seq_le,icmp.resp_to,data.len,arp.hw.size,arp.proto.size,Status
1514,20,1500,64,6,1448,46634,1,32,1986182317,450367736,31856,41992,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,19122,32,450367760,1986182316,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,48082,32,450367760,1986182316,0,0,0,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,48082,1,32,1986182325,450367760,10136,52128,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,58218,1,32,1986182325,450367760,17376,59368,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,65458,1,32,1986182325,450367760,24616,66608,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,72698,1,32,1986182325,450367760,27512,69504,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,75594,1,32,1986182325,450367760,30408,72400,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,78490,1,32,1986182326,450367760,31856,73848,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,79938,1,32,1986182326,450367760,37648,79640,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,85730,1,32,1986182326,450367760,41992,83984,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,90074,1,32,1986182326,450367760,43440,85432,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,91522,1,32,1986182327,450367760,46336,88328,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,94418,1,32,1986182327,450367760,50680,92672,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,98762,1,32,1986182327,450367760,56472,98464,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,104554,1,32,1986182327,450367760,59368,101360,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,50978,32,450367771,1986182325,0,0,0.01,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,107450,1,32,1986182336,450367771,59368,104256,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,110346,32,450367777,1986182325,0,0,0.01,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,110346,1,32,1986182347,450367777,10136,114392,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,120482,1,32,1986182347,450367777,17376,121632,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,127722,1,32,1986182347,450367777,20272,124528,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,130618,1,32,1986182347,450367777,24616,128872,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,134962,1,32,1986182347,450367777,28960,133216,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,139306,1,32,1986182347,450367777,31856,136112,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,142202,1,32,1986182348,450367777,33304,137560,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,143650,1,32,1986182348,450367777,37648,141904,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,147994,1,32,1986182349,450367777,39096,143352,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,149442,1,32,1986182349,450367777,44888,149144,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,155234,1,32,1986182349,450367777,49232,153488,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,159578,1,32,1986182349,450367777,53576,157832,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,163922,1,32,1986182349,450367777,55024,159280,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,165370,1,32,1986182349,450367777,59368,4344,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,169714,1,32,1986182349,450367777,63712,8688,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,174058,1,32,1986182350,450367777,65160,10136,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,113242,32,450367793,1986182347,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,175506,1,32,1986182357,450367793,65160,13032,0,0,0,0,0,0,0,2795,0,0,0
66,20,52,64,6,0,1,178402,32,450367799,1986182347,0,0,0,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,178402,1,32,1986182364,450367799,10136,23168,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,188538,1,32,1986182364,450367799,17376,30408,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,195778,1,32,1986182364,450367799,21720,34752,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,200122,1,32,1986182364,450367799,26064,39096,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,204466,1,32,1986182364,450367799,30408,43440,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,208810,1,32,1986182366,450367799,31856,44888,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,210258,1,32,1986182366,450367799,36200,49232,0,0,0,0,0,0,0,0,0,0,0
1514,20,1500,64,6,1448,214602,1,32,1986182366,450367799,37648,50680,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,216050,1,32,1986182367,450367799,41992,55024,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,220394,1,32,1986182367,450367799,47784,60816,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,226186,1,32,1986182367,450367799,52128,65160,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,230530,1,32,1986182367,450367799,56472,69504,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,234874,1,32,1986182367,450367799,62264,75296,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,240666,1,32,1986182367,450367799,65160,78192,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,181298,32,450367811,1986182364,0,0,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,242114,32,450367811,1986182364,0,0,0,0,0,0,0,0,0,0,0,0,0
2962,20,2948,64,6,2896,243562,1,32,1986182375,450367811,4344,81088,0,0,0,0,0,0,0,0,0,0,0
10202,20,10188,64,6,10136,246458,1,32,1986182377,450367811,14480,91224,0,0,0,0,0,0,0,0,0,0,0
7306,20,7292,64,6,7240,256594,1,32,1986182377,450367811,21720,98464,0,0,0,0,0,0,0,0,0,0,0
5858,20,5844,64,6,5792,263834,1,32,1986182377,450367811,27512,104256,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,269626,1,32,1986182377,450367811,31856,108600,0,0,0,0,0,0,0,0,0,0,0
66,20,52,64,6,0,1,245010,32,450367815,1986182367,0,0,0,0,0,0,0,0,0,0,0,0,0
4410,20,4396,64,6,4344,273970,1,32,1986182377,450367811,33304,112944,0,0,0,0,0,0,0,0,0,0,0
